emp_no,first_name,last_name,birth_date,from_date,to_date,title
" 10,095 ",Hilari,Morton,1/3/65,3/10/94,1/1/99,Senior Staff
" 10,122 ",Ohad,Esposito,1/19/65,8/6/98,1/1/99,Technique Leader
" 10,291 ",Dipayan,Seghrouchni,1/23/65,3/30/87,1/1/99,Senior Staff
" 10,476 ",Kokou,Iisaka,1/1/65,9/20/87,1/1/99,Senior Staff
" 10,663 ",Teunis,Noriega,1/9/65,1/23/93,2/12/99,Technique Leader
" 10,762 ",Lech,Himler,1/19/65,1/21/92,1/1/99,Senior Staff
" 10,933 ",Juyoung,Seghrouchni,1/24/65,8/2/93,1/1/99,Senior Engineer
" 12,155 ",Keiichiro,Glinert,1/21/65,9/16/93,1/1/99,Senior Engineer
" 12,408 ",Rasiah,Sudkamp,1/10/65,4/18/95,1/1/99,Senior Engineer
" 12,643 ",Morrie,Schurmann,1/30/65,12/31/98,1/1/99,Staff
" 13,499 ",Kazuhiko,Sidou,1/16/65,9/1/91,1/1/99,Technique Leader
" 14,075 ",Denny,Tchuente,1/3/65,5/30/91,1/1/99,Engineer
" 14,104 ",Sudhanshu,Demian,1/3/65,7/23/94,1/1/99,Senior Staff
" 14,127 ",Magdalena,Cannard,1/10/65,4/22/94,1/1/99,Senior Engineer
" 14,158 ",Caolyn,Setiz,1/22/65,2/6/90,1/1/99,Senior Staff
" 14,476 ",Sastry,Marrevee,1/19/65,9/25/99,1/1/99,Engineer
" 14,907 ",Nakhoon,Luga,1/14/65,12/18/86,1/1/99,Senior Staff
" 15,050 ",Nikolaos,Kruskal,1/18/65,12/17/90,1/1/99,Senior Engineer
" 15,058 ",Bouchung,Bugrara,1/30/65,6/18/90,1/1/99,Senior Staff
" 15,413 ",Arvin,Rabejac,1/17/65,1/1/94,1/1/99,Senior Engineer
" 16,461 ",Remmert,Schahn,1/14/65,9/6/86,1/1/99,Senior Staff
" 16,528 ",Gaurav,Swick,1/21/65,5/7/96,1/1/99,Engineer
" 17,013 ",Morris,Garigliano,1/15/65,5/24/95,1/1/99,Senior Staff
" 17,206 ",Berry,DeMori,1/2/65,12/27/92,1/1/99,Senior Engineer
" 17,369 ",Yaghout,Kenevan,1/31/65,9/15/00,1/1/99,Senior Engineer
" 17,447 ",Zengping,Boreale,1/11/65,12/16/98,1/1/99,Staff
" 17,731 ",Gennady,Roison,1/16/65,12/6/89,1/1/99,Engineer
" 17,970 ",Filipp,Carrere,1/6/65,1/9/89,1/1/99,Technique Leader
" 17,988 ",Mabhin,Calkin,1/31/65,11/30/89,1/1/99,Senior Engineer
" 18,021 ",Adil,Matzke,1/7/65,5/8/87,1/1/99,Senior Engineer
" 18,424 ",Filipp,Rousseau,1/19/65,6/7/95,1/1/99,Senior Engineer
" 18,583 ",Stafford,Honglei,1/3/65,8/16/98,1/1/99,Staff
" 18,617 ",Surveyors,Crouzet,1/21/65,4/24/89,1/1/99,Senior Staff
" 18,810 ",Taiji,Jarecki,1/9/65,6/27/91,1/1/99,Senior Engineer
" 19,236 ",Elzbieta,Morris,1/24/65,7/12/88,1/1/99,Senior Engineer
" 19,350 ",Satoru,Yoshizawa,1/19/65,3/27/94,1/1/99,Senior Staff
" 19,803 ",Ziva,Kowalchuk,1/30/65,6/13/87,1/1/99,Senior Engineer
" 20,100 ",Utz,Heuter,1/18/65,6/15/86,1/1/99,Senior Staff
" 20,128 ",Kazunori,Peak,1/23/65,8/13/99,1/1/99,Senior Staff
" 20,129 ",Rafael,Skafidas,1/10/65,3/28/91,1/1/99,Senior Engineer
" 20,248 ",Vidar,Demri,1/12/65,12/31/99,1/1/99,Staff
" 20,313 ",Candida,Benveniste,1/24/65,1/20/99,1/1/99,Engineer
" 20,500 ",Christoph,Trystram,1/30/65,10/15/93,1/1/99,Senior Staff
" 20,885 ",Otmar,Rothenberg,1/21/65,3/14/89,1/1/99,Senior Engineer
" 21,181 ",Jianhui,Cangellaris,1/21/65,10/6/91,1/1/99,Engineer
" 21,188 ",Piyush,Danecki,1/21/65,1/8/00,1/1/99,Engineer
" 21,546 ",Yongmin,Lanteri,1/1/65,3/19/02,1/1/99,Senior Staff
" 21,843 ",Karsten,Azadmanesh,1/9/65,11/29/85,1/1/99,Senior Engineer
" 21,909 ",Mohammed,Brizzi,1/4/65,12/28/91,1/1/99,Senior Staff
" 22,185 ",Huai,Birch,1/29/65,6/12/02,1/1/99,Engineer
" 22,415 ",Perla,Jumpertz,1/20/65,8/24/94,1/1/99,Senior Staff
" 22,451 ",Jasminko,Bresenham,1/27/65,12/16/87,1/19/94,Senior Staff
" 22,455 ",Barry,Unno,1/6/65,11/16/90,1/1/99,Senior Staff
" 22,926 ",Manibrata,Genther,1/1/65,1/15/88,1/1/99,Senior Engineer
" 23,396 ",Hilari,Fairtlough,1/2/65,12/15/86,1/1/99,Technique Leader
" 24,080 ",Jaana,Perez,1/26/65,3/11/96,1/1/99,Technique Leader
" 24,205 ",Roddy,Rubsam,1/25/65,9/19/93,1/1/99,Senior Engineer
" 24,377 ",Lubomir,Wroclawski,1/25/65,7/25/93,1/1/99,Senior Engineer
" 24,394 ",Zhonghui,Conta,1/4/65,9/10/94,1/1/99,Staff
" 24,553 ",Anwar,Passafiume,1/12/65,1/30/87,1/1/99,Senior Staff
" 24,571 ",Cordelia,Gischer,1/20/65,3/14/89,1/1/99,Senior Engineer
" 25,488 ",Ingmar,Basawa,1/19/65,11/9/91,1/1/99,Senior Staff
" 26,629 ",Nevin,Rodham,1/28/65,12/14/98,1/1/99,Senior Staff
" 26,671 ",Jiakeng,Kalorkoti,1/21/65,12/25/94,1/1/99,Senior Engineer
" 26,788 ",Zongyan,Dalphin,1/25/65,4/23/88,1/1/99,Senior Engineer
" 27,331 ",Wanqing,Krohm,1/19/65,1/22/91,1/1/99,Senior Staff
" 27,378 ",Piyawadee,Leppanen,1/28/65,2/25/99,1/1/99,Senior Staff
" 27,620 ",Shuji,Kandlur,1/25/65,3/2/90,1/1/99,Senior Engineer
" 27,686 ",Manu,Rosiles,1/28/65,3/3/98,1/1/99,Senior Staff
" 27,699 ",Falguni,Pezzoli,1/15/65,12/23/96,1/1/99,Engineer
" 27,767 ",Tooru,Veldwijk,1/27/65,11/21/93,1/1/99,Senior Staff
" 28,193 ",Xinglin,Mitsuhashi,1/29/65,12/14/88,1/1/99,Senior Engineer
" 28,974 ",Chenxi,Sundgren,1/9/65,9/2/86,1/1/99,Senior Engineer
" 28,988 ",Tua,Giveon,1/18/65,9/9/98,1/1/99,Technique Leader
" 29,130 ",Xumin,Thorensen,1/6/65,4/26/98,1/1/99,Staff
" 29,265 ",Gilbert,Calkin,1/14/65,3/21/88,1/1/99,Senior Staff
" 29,380 ",Satoru,Vidal,1/30/65,5/2/98,1/1/99,Assistant Engineer
" 29,418 ",Valery,Mersereau,1/22/65,7/1/98,1/1/99,Assistant Engineer
" 29,679 ",Kolar,Steenbeek,1/17/65,10/18/86,1/1/99,Senior Engineer
" 29,782 ",Jouko,Hellwagner,1/29/65,10/23/00,1/1/99,Senior Engineer
" 29,954 ",Pranay,Giarratana,1/27/65,9/29/92,1/1/99,Senior Engineer
" 30,007 ",Kousuke,Vecchio,1/24/65,2/23/90,1/1/99,Senior Engineer
" 30,035 ",Tetsushi,Conta,1/8/65,7/4/95,1/1/99,Senior Staff
" 30,154 ",Mayuko,Skafidas,1/26/65,4/19/99,1/1/99,Technique Leader
" 30,182 ",Leon,Potthoff,1/26/65,12/8/85,1/1/99,Senior Engineer
" 30,465 ",Randi,Avouris,1/28/65,7/16/86,1/1/99,Senior Engineer
" 30,484 ",Sailaja,Chvatal,1/11/65,5/18/99,1/1/99,Staff
" 30,695 ",Gudjon,Majewski,1/8/65,10/26/99,1/1/99,Senior Engineer
" 30,938 ",Yakkov,Samarati,1/6/65,5/23/95,10/10/97,Senior Staff
" 31,147 ",Divine,Sidhu,1/4/65,7/5/89,1/1/99,Senior Staff
" 31,188 ",Leandro,Gist,1/12/65,2/3/93,1/1/99,Technique Leader
" 31,207 ",Abdelwaheb,Dulin,1/30/65,8/5/93,1/1/99,Senior Engineer
" 31,341 ",Oksana,Zultner,1/1/65,3/23/91,1/1/99,Senior Staff
" 31,514 ",Harngdar,Schapire,1/13/65,11/9/96,1/1/99,Senior Engineer
" 31,568 ",Mark,Lalonde,1/10/65,11/24/96,1/1/99,Staff
" 31,909 ",Murthy,Peek,1/10/65,10/30/00,1/1/99,Engineer
" 32,347 ",Terresa,Peres,1/8/65,9/15/90,1/1/99,Senior Staff
" 32,552 ",Atreye,Stanger,1/17/65,9/10/93,1/1/99,Engineer
" 32,649 ",Ingmar,Nannarelli,1/12/65,6/10/88,1/1/99,Senior Staff
" 32,714 ",Radoslaw,Maliniak,1/16/65,11/17/97,9/18/01,Staff
" 32,844 ",Tadahiko,Melton,1/23/65,1/7/95,1/1/99,Engineer
" 33,025 ",Jessie,Thorelli,1/12/65,12/16/99,1/1/99,Senior Staff
" 33,215 ",Steen,Fasbender,1/29/65,2/14/93,1/1/99,Technique Leader
" 33,722 ",Anwar,Collette,1/15/65,2/3/01,1/1/99,Senior Engineer
" 34,077 ",Angel,Sichman,1/8/65,11/16/88,1/1/99,Senior Staff
" 34,261 ",Kyoichi,Callaway,1/5/65,12/30/90,1/1/99,Senior Staff
" 34,446 ",Chinhyun,Bauknecht,1/31/65,12/19/86,1/1/99,Senior Engineer
" 34,452 ",Naftaly,Foong,1/8/65,5/10/91,1/1/99,Senior Engineer
" 34,505 ",Felicidad,Kumaresan,1/28/65,9/6/94,1/1/99,Senior Staff
" 34,533 ",Erzsebet,Shigei,1/10/65,1/21/91,1/16/95,Senior Engineer
" 34,780 ",Moni,Kohling,1/16/65,7/21/94,9/18/01,Staff
" 34,788 ",Ennio,Babu,1/27/65,8/31/94,1/1/99,Senior Engineer
" 34,936 ",Bokyung,Stamatiou,1/12/65,2/12/91,1/1/99,Technique Leader
" 35,044 ",Jiang,Waschkowski,1/4/65,5/27/89,1/1/99,Senior Engineer
" 35,087 ",Leif,Ashish,1/17/65,10/14/94,1/1/99,Senior Staff
" 35,441 ",Chandrasekaran,Peek,1/31/65,9/17/90,1/1/99,Senior Engineer
" 35,642 ",Ashish,Talmon,1/30/65,2/28/99,1/1/99,Senior Engineer
" 35,793 ",Oscar,Kusalik,1/1/65,5/11/91,1/1/99,Senior Staff
" 35,798 ",Ulf,Oberman,1/29/65,3/15/97,1/1/99,Senior Engineer
" 36,521 ",Serif,Gladwell,1/21/65,3/6/87,1/1/99,Senior Staff
" 36,626 ",Fen,Genin,1/2/65,5/9/86,1/1/99,Senior Staff
" 36,733 ",Uma,Reinhard,1/4/65,11/1/97,1/1/99,Staff
" 36,844 ",Hailing,Levergood,1/1/65,1/12/00,1/1/99,Staff
" 36,982 ",Kotesh,Rajala,1/22/65,6/23/92,1/1/99,Senior Engineer
" 37,070 ",Jeong,Undy,1/22/65,2/13/85,1/1/99,Senior Staff
" 37,945 ",Suzette,Butterworth,1/2/65,2/19/94,1/1/99,Senior Engineer
" 38,043 ",Michaela,Randi,1/5/65,11/23/85,1/1/99,Senior Engineer
" 38,103 ",Masasuke,Babu,1/12/65,3/31/88,1/1/99,Senior Engineer
" 38,168 ",Fumiko,Deverell,1/14/65,8/15/87,1/1/99,Senior Staff
" 38,550 ",JoAnne,Baez,1/14/65,2/16/87,1/1/99,Senior Engineer
" 38,593 ",Huei,Orsini,1/14/65,6/4/86,1/1/99,Senior Engineer
" 38,947 ",Shuichi,Ruemmler,1/25/65,3/8/91,4/8/98,Senior Staff
" 39,000 ",Martijn,Vendrig,1/8/65,3/3/97,1/1/99,Senior Staff
" 39,036 ",Changho,Cappelli,1/8/65,5/4/96,1/1/99,Staff
" 39,301 ",Rimon,Kawashima,1/7/65,2/6/92,1/1/99,Senior Staff
" 39,341 ",Mahmut,Lampe,1/1/65,5/11/85,1/1/99,Senior Engineer
" 39,952 ",Otmar,Sudbeck,1/2/65,7/22/98,1/1/99,Staff
" 40,269 ",Toshiki,Ghazalie,1/10/65,12/5/91,1/1/99,Senior Staff
" 40,283 ",Sudhanshu,Boissier,1/7/65,5/11/85,1/1/99,Senior Engineer
" 40,301 ",Spyrose,Felder,1/20/65,6/16/96,10/20/97,Senior Engineer
" 40,536 ",Harngdar,Bernardinello,1/20/65,2/29/88,1/1/99,Senior Engineer
" 40,765 ",Michaela,Ramsak,1/1/65,12/21/92,1/1/99,Senior Staff
" 40,773 ",Shimshon,Aingworth,1/9/65,4/13/86,1/1/99,Senior Staff
" 40,983 ",Marla,Cherinka,1/17/65,12/1/86,1/1/99,Technique Leader
" 41,114 ",Petter,Thummel,1/25/65,12/24/95,1/1/99,Technique Leader
" 41,137 ",Bikash,Buchter,1/20/65,11/23/87,1/8/96,Senior Staff
" 41,357 ",Willard,Vernadat,1/6/65,3/4/97,1/1/99,Engineer
" 41,518 ",Keung,Schapiro,1/11/65,4/19/98,2/8/01,Senior Engineer
" 41,520 ",Xiong,Uhrik,1/20/65,3/21/88,1/1/99,Senior Engineer
" 41,609 ",Yucai,Simmen,1/4/65,10/13/87,1/1/99,Senior Staff
" 42,778 ",Shuji,Remmers,1/19/65,12/18/87,1/1/99,Senior Staff
" 42,911 ",Brigham,Eterovic,1/29/65,10/8/94,1/1/99,Senior Engineer
" 42,950 ",Shaleah,Eickenmeyer,1/22/65,10/9/93,1/1/99,Senior Staff
" 42,955 ",Yucel,Lortz,1/12/65,2/21/95,1/1/99,Engineer
" 43,154 ",Maha,Waterhouse,1/13/65,7/4/97,1/1/99,Senior Staff
" 43,733 ",Huei,Boguraev,1/26/65,12/31/93,1/1/99,Senior Staff
" 43,848 ",Phillip,Oxenboll,1/11/65,5/26/99,1/1/99,Engineer
" 44,054 ",Alenka,Ritcey,1/18/65,2/9/97,1/1/99,Engineer
" 44,265 ",Maria,Eppinger,1/24/65,1/30/97,1/1/99,Engineer
" 44,540 ",Mingzeng,Sadowski,1/16/65,11/12/89,1/1/99,Senior Engineer
" 44,900 ",Mark,Schwaller,1/5/65,8/10/94,1/1/99,Senior Staff
" 44,959 ",Volkmar,Uhrik,1/21/65,1/16/88,1/1/99,Senior Engineer
" 44,962 ",Sariel,Wynblatt,1/16/65,5/18/96,1/1/99,Assistant Engineer
" 45,162 ",Dulce,Speel,1/11/65,10/19/87,1/1/99,Senior Engineer
" 46,000 ",Zhaofang,Penn,1/26/65,7/24/97,1/1/99,Senior Staff
" 46,328 ",Wuxu,Trogemann,1/5/65,1/27/97,1/1/99,Senior Staff
" 46,811 ",Junsik,Berendt,1/10/65,4/27/88,1/1/99,Senior Engineer
" 46,834 ",Tooru,Daescu,1/22/65,3/20/98,1/1/99,Senior Staff
" 46,943 ",Pasqua,Maraist,1/31/65,12/6/93,1/1/99,Senior Engineer
" 47,016 ",Toong,Litecky,1/3/65,3/1/89,1/1/99,Senior Staff
" 47,139 ",Marco,Usdin,1/25/65,10/29/96,1/1/99,Engineer
" 47,262 ",Gonzalo,Binkley,1/10/65,8/16/85,1/1/99,Senior Engineer
" 47,515 ",Naraig,Jenevein,1/26/65,1/18/87,1/1/99,Senior Engineer
" 47,702 ",Juyoung,Vieri,1/21/65,8/12/91,1/1/99,Senior Staff
" 47,708 ",Edwin,Haldar,1/5/65,7/12/95,1/1/99,Senior Staff
" 48,275 ",Sariel,Massonet,1/29/65,11/20/87,1/1/99,Senior Staff
" 48,690 ",Hitomi,Schaap,1/12/65,9/27/99,1/1/99,Staff
" 48,882 ",Leen,Lamparter,1/28/65,6/7/93,1/1/99,Senior Engineer
" 48,904 ",Yuichiro,Malabarba,1/23/65,3/7/94,1/1/99,Senior Staff
" 48,947 ",Filipp,Akaboshi,1/5/65,5/20/92,1/1/99,Senior Staff
" 49,010 ",Kazuhisa,Benantar,1/16/65,10/23/89,3/30/90,Senior Staff
" 49,017 ",Filipp,Flanders,1/7/65,11/26/90,1/1/99,Senior Engineer
" 49,119 ",Lena,Peek,1/9/65,5/16/91,1/1/99,Senior Engineer
" 49,177 ",Tze,Bach,1/3/65,3/9/99,1/1/99,Engineer
" 49,464 ",Siddarth,Cappelletti,1/14/65,9/10/99,1/1/99,Staff
" 49,477 ",Baocai,Leaver,1/14/65,8/5/98,1/1/99,Senior Staff
" 50,293 ",Xinan,Rindone,1/26/65,10/8/96,1/1/99,Engineer
" 50,311 ",Mooi,Stafford,1/24/65,10/6/96,1/1/99,Senior Engineer
" 50,453 ",Aron,Harbusch,1/12/65,10/2/97,1/1/99,Staff
" 50,670 ",Boguslaw,Snedden,1/30/65,2/20/85,1/1/99,Senior Staff
" 50,831 ",Marie,Khalid,1/6/65,6/11/96,1/1/99,Senior Engineer
" 51,036 ",Chriss,Fasbender,1/29/65,5/23/95,1/1/99,Staff
" 51,057 ",Theirry,Albarhamtoshy,1/29/65,9/27/91,1/1/99,Senior Staff
" 51,060 ",Youngkon,Rohrbach,1/15/65,10/20/89,1/1/99,Senior Engineer
" 51,142 ",Rosine,Lakshmanan,1/29/65,1/31/86,1/1/99,Senior Engineer
" 52,038 ",Chikako,Armand,1/13/65,5/18/85,1/1/99,Senior Engineer
" 52,040 ",Phule,Heijenga,1/14/65,2/22/92,12/8/96,Senior Staff
